"","Height","interaction","Pedigree","DAP","Height2","Tester"
"1152",2.24664084136633,"W10004_0007 X PHZ51:126","W10004_0007 X PHZ51",126,2.24664084136633,"PHZ51"
"1153",-0.0340950008870721,"W10004_0008 X PHK76:15","W10004_0008 X PHK76",15,0,"PHK76"
"1154",-0.0185608075591372,"W10004_0008 X PHK76:17","W10004_0008 X PHK76",17,0,"PHK76"
"1155",0.0569893151448347,"W10004_0008 X PHK76:22","W10004_0008 X PHK76",22,0.0569893151448347,"PHK76"
"1156",0.107540594892164,"W10004_0008 X PHK76:24","W10004_0008 X PHK76",24,0.107540594892164,"PHK76"
"1157",0.211889559160498,"W10004_0008 X PHK76:27","W10004_0008 X PHK76",27,0.211889559160498,"PHK76"
"1158",0.355483350358698,"W10004_0008 X PHK76:30","W10004_0008 X PHK76",30,0.355483350358698,"PHK76"
"1159",0.474315147452435,"W10004_0008 X PHK76:32","W10004_0008 X PHK76",32,0.474315147452435,"PHK76"
"1160",0.843941062725454,"W10004_0008 X PHK76:37","W10004_0008 X PHK76",37,0.843941062725454,"PHK76"
"1161",1.01185033795785,"W10004_0008 X PHK76:39","W10004_0008 X PHK76",39,1.01185033795785,"PHK76"
"1162",1.18303804294819,"W10004_0008 X PHK76:41","W10004_0008 X PHK76",41,1.18303804294819,"PHK76"
"1163",1.50792508487378,"W10004_0008 X PHK76:45","W10004_0008 X PHK76",45,1.50792508487378,"PHK76"
"1164",1.71154189757358,"W10004_0008 X PHK76:48","W10004_0008 X PHK76",48,1.71154189757358,"PHK76"
"1165",1.86593464049077,"W10004_0008 X PHK76:51","W10004_0008 X PHK76",51,1.86593464049077,"PHK76"
"1166",2.01482070714519,"W10004_0008 X PHK76:56","W10004_0008 X PHK76",56,2.01482070714519,"PHK76"
"1167",2.06376651076814,"W10004_0008 X PHK76:60","W10004_0008 X PHK76",60,2.06376651076814,"PHK76"
"1168",2.07517207235124,"W10004_0008 X PHK76:62","W10004_0008 X PHK76",62,2.07517207235124,"PHK76"
"1169",2.0877396442379,"W10004_0008 X PHK76:69","W10004_0008 X PHK76",69,2.0877396442379,"PHK76"
"1170",2.08883770329747,"W10004_0008 X PHK76:73","W10004_0008 X PHK76",73,2.08883770329747,"PHK76"
