"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"W10004_0192 X PHZ51",-4.98524449571153,-0.852201674925033,-0.505379915244706,-0.00459012830480635,0.00826928659124844,0.0114976787423137,-0.00420442589367528,0.00111701821116567,0.000754678775014818,-0.000145033202695294,-0.000627218894763458,0.000491453872796338,0.000228320808831811,-3.78629108697126e-05,4.97535763457901e-05,1.4568396263237e-06,-1.03299155030379e-05,-1.19814729159229e-05,-8.14126366141532e-07,3.35149251531885e-06,-8.4397691685334e-07,1.64810634209478e-07,-2.48373544259328e-07,-1.64763927362754e-07,-1.13736287055133e-09,-3.75936418106626e-08,1.45059417255844e-09,-2.20810026860252e-09,-4.213162596578e-10,-4.73551753366053e-11,-6.04702399265022e-12,-1.54863621926182e-12
"W10004_0194 X PHK76",2.29567322794923,0.262596970896436,-0.383563133409237,0.117588879752851,-0.0115784270706147,-0.00282173755225304,-0.000492570331258296,0.000472787719852222,1.64391834300177e-05,-0.000120801290127009,0.00628956672385992,-0.000593802781108099,0.000166907279274847,-0.000139265344155842,-3.6792835780175e-05,-5.80263263301461e-05,-1.27602239694546e-05,4.49032488057666e-06,-1.19187150149289e-05,1.66322714609257e-06,2.95806609235116e-07,-8.67211841927562e-07,4.75967829871582e-08,-2.44609172778132e-08,3.12005159208706e-08,5.19691681771794e-08,-1.25916856108521e-09,1.00783522152814e-10,1.96769711635625e-10,1.06847031222657e-11,2.82648904281757e-13,-7.9759809867852e-13
"W10004_0194 X PHP02",3.05172949928393,1.43171873696919,0.710635403415732,0.0593236414788635,-0.06711783916908,-0.0273915823736901,0.0170502166033778,0.00628380963221943,-0.00292720291462762,0.000128614575401531,0.00442015085166757,-0.00205299622557907,0.000795093326459134,5.34561778323117e-05,0.000123983649018916,-0.000131759127912384,-9.52974241161253e-06,1.01684500375121e-05,7.20126667419496e-06,-3.88793105765561e-08,-8.83871360546351e-07,4.47596970487574e-07,1.80476509639704e-07,5.74469567748981e-08,-2.50918482935791e-08,-2.25229293271401e-08,2.63727525928736e-09,-3.04417739974139e-09,7.93188847936221e-11,4.72409333873713e-11,1.53135837344109e-12,6.46648012914142e-12
"W10004_0194 X PHZ51",-2.49694936918587,-0.040791365060055,0.0447702937055583,-0.137877794527706,-0.00533010118081672,-0.00300082891934277,-0.00340489608440348,0.00344940334208069,-0.000661559761640451,0.0002884474615907,0.00124016434552515,0.00122889253504407,0.000499585279914561,-0.000160409973213788,2.90098110095061e-06,7.20735965835662e-05,-3.48502633644443e-05,-4.50758101352977e-06,-4.7216959896193e-06,5.71442386614052e-06,4.6030849409906e-07,-2.13914999352971e-07,-3.2266646379786e-07,3.08725985609382e-08,6.07068334490535e-09,-5.53220096399798e-08,-9.17195169813922e-09,-7.24488422379488e-10,1.97443922322904e-10,-1.63717789325446e-11,2.65047706005106e-12,-4.34276919980547e-12
"W10004_0196 X PHP02",-1.21044470244266,-0.619691239945244,0.0290398518196146,-0.120289512592693,-0.0062200752140624,-0.00157510329757457,0.000787050680498246,0.00542415975280426,-0.000760942583336295,0.000120296157801174,-6.73444425658485e-05,0.000461662567297419,0.000663490540825172,-1.01337439872839e-05,5.88471635701582e-05,9.92611250837799e-05,-2.1821882223591e-05,-1.66541468474071e-05,-5.00522265188541e-06,3.91672106848928e-06,-3.36723202876144e-07,1.85077789205401e-08,-4.94691190365548e-07,-1.52158019239845e-07,2.56472358906024e-08,-5.35811462872016e-08,-5.75933277457974e-09,1.93057378243544e-10,-2.37678390857532e-10,-6.05791666830058e-11,-3.49170692359735e-12,-3.11818279530307e-12
"W10004_0196 X PHZ51",-6.48793235966733,0.448502636518944,0.793705904269431,-0.084590578539796,-0.0255875425171846,0.00992891014729375,0.0232875816113902,0.00598477412623011,-0.00192939136405874,-0.000503348481578042,-0.00027009264410322,-0.00372132500016309,0.00019099430779293,0.000491489921709609,3.73601705943027e-05,-0.000114359275838471,6.66821429056164e-05,9.26700172165784e-06,2.18912844809904e-06,-1.41619057554832e-05,-2.13791326808543e-07,-1.31215874173141e-06,6.40782322952616e-07,2.32264088628753e-07,-7.28552412287975e-08,1.66176259835948e-08,6.11908976266839e-09,2.21209641229625e-09,1.85475240721544e-09,1.53535628655277e-10,3.12576353689309e-11,-2.32286412327198e-12
"W10004_0197 X PHK76",-10.8009432302071,1.22676455168092,-0.737187709206576,0.0567651434843813,0.0327924639598978,0.0344838562605769,-0.00752395070037715,-0.00602200273699055,0.00132663706337332,-0.000184656498378705,0.00817421334918333,-0.000704283981962539,-0.000461645293536428,-8.12529059263101e-06,-0.000211101657409729,-8.32095170433256e-07,2.71678703879785e-05,-4.90649298801049e-06,-2.67473855336264e-05,-6.76902746538088e-06,1.31189715779634e-06,-1.18895296336019e-06,6.50363429000045e-07,-3.0135324929903e-07,9.2961968567451e-08,2.18735730556086e-07,6.70473937480764e-09,-2.89056958924228e-10,-3.65968255700011e-10,-1.17942322575004e-11,-4.25859347785718e-12,-6.1631255654504e-12
"W10004_0197 X PHP02",-7.19840884588339,1.20210332000736,-0.158972930501015,0.0607139856153407,-0.0247327857370619,-0.00169937025817717,-0.00075779886279434,-0.000168550756309477,-0.00071596866930753,0.00022989893130354,0.00400053393852409,0.000185660429477347,0.000383703320757128,-0.000203393634002957,4.23186879329185e-05,-0.000121755063500401,-3.07408502455697e-05,2.65338420735173e-06,-3.67471338569292e-06,4.80186436252472e-06,-5.06748398354517e-07,-4.42589331101084e-07,-3.32416383308498e-08,-6.32855061688531e-08,1.95771776012599e-08,3.11259979596246e-08,-3.97976651633769e-11,2.42110113554683e-09,7.15239534265777e-11,8.59268212138886e-12,-1.6052437157299e-12,-9.18279341455275e-13
"W10004_0197 X PHZ51",-8.08270160232659,-0.182018285520441,-0.264527029429775,-0.0718136145126547,0.00289122654852574,0.0103372395975319,-0.00378660607452383,0.00147141117012911,4.65888882593066e-05,9.78572289878354e-05,-0.000170062172585774,0.000788020597392913,0.000373206111335123,-7.60673830996206e-05,4.70142269814455e-05,6.38722847201567e-06,-2.02460160670381e-05,-1.16471214264835e-05,-1.82911995311175e-06,4.27582842404961e-06,-6.70948388903359e-07,3.31968116329406e-08,-2.73551320817411e-07,-1.62940561876379e-07,4.62498073172668e-09,-4.49133617796971e-08,-1.71952457828084e-09,-1.7825301477925e-09,-2.46934694914103e-10,-3.09394732056489e-11,-2.94420043900345e-12,-2.94957114288508e-12
"W10004_0199 X PHP02",1.28724364228183,-1.05357494473277,-0.130685515032147,-0.236926613138386,0.0162940778539416,-0.00731330323860369,-0.0166986131320997,0.0011233977822936,0.00094691813493373,0.000334115007367922,-0.0017697001907895,0.00390672050504582,-9.88063399455265e-05,-0.000389939841149486,-0.000114483688082166,0.000134139378920577,-4.01143205411743e-05,1.69867379487855e-05,4.35700751668516e-07,4.78697153195873e-06,1.91050081397443e-06,-1.74193485616772e-07,1.08807361650157e-07,4.00283473676183e-07,-5.0786317488255e-08,1.70928225740052e-09,2.88045494747924e-09,2.45242758826342e-09,5.35473124174679e-10,4.05125620550617e-11,9.61497201301675e-12,-2.61386658845231e-12
