Hybrid,Yield,DTA,DTS,PHT,EHT
W10004_0010/PHZ51,6.303490768,53.65503927,54.36721856,266.1990512,94.71698039
W10004_0011/PHK76,7.434750879,52.49758771,51.49701236,213.0572452,92.60680168
W10004_0011/PHP02,11.34412147,50.12797125,52.47575687,228.8979353,78.66988255
W10004_0011/PHZ51,7.695520896,52.12061194,53.19194833,251.7039716,124.5473129
W10004_0013/PHK76,7.474609207,51.3920021,51.64774018,237.527801,115.7685455
W10004_0013/PHP02,6.720624776,50.45977575,50.39722823,222.8672821,94.10403308
W10004_0013/PHZ51,8.964632673,51.36199777,52.23136765,251.3716891,117.8289786
W10004_0014/PHK76,10.99228066,50.89317788,52.13678813,244.8566608,115.8781834
W10004_0014/PHP02,8.479149819,51.20308442,52.32497349,249.0520427,129.936392
W10004_0014/PHZ51,9.314650122,53.24290123,53.15259857,254.2204158,102.479973
W10004_0018/PHK76,6.97582864,50.3200094,50.14934734,210.0660443,96.68839176
W10004_0018/PHP02,7.736489141,51.20797208,51.92098226,226.5076736,109.3574485
W10004_0018/PHZ51,9.43114397,53.30481593,52.6577937,252.7985951,120.568968
W10004_0026/PHK76,7.427986638,53.67003142,53.60858137,227.287435,100.5926888
W10004_0026/PHP02,9.388178569,50.98779765,51.39565219,230.9166954,104.9768871
W10004_0026/PHZ51,8.145227552,52.66120802,52.46296568,254.8869439,117.4391966
W10004_0027/PHK76,7.372201315,50.96326157,50.82653195,207.4643776,91.29869424
W10004_0027/PHP02,9.229108681,50.67062019,51.61201335,207.2628324,84.93441834
W10004_0027/PHZ51,7.240996525,52.77842837,54.2353096,233.4235075,109.1689164
W10004_0031/PHK76,6.885291474,51.8730007,52.27566506,239.5531006,119.1316028
W10004_0031/PHP02,7.225643002,52.42136352,53.73702825,246.9103022,120.3789702
W10004_0031/PHZ51,6.986426356,51.09935292,52.14065741,262.7339005,118.5786804
W10004_0032/PHK76,5.066642086,51.83918189,51.56204605,207.8302583,90.62634436
W10004_0032/PHP02,8.265300271,51.52708165,51.54043826,212.7886973,105.3181193
W10004_0032/PHZ51,6.536103583,53.22932492,53.7961696,247.8298537,117.1523493
W10004_0034/PHK76,8.300816467,51.33824594,52.00745816,213.6841836,87.36107209
W10004_0034/PHP02,7.542449729,52.77850855,54.01180675,212.5470995,104.5874861
W10004_0034/PHZ51,9.60058477,52.63129067,53.79768072,269.4619525,146.3528572
W10004_0035/PHK76,9.476774643,49.48468961,49.38100788,237.5079867,109.270693
W10004_0035/PHP02,8.539612673,49.48590287,51.68385972,233.3002718,98.18044383
W10004_0035/PHZ51,7.609167201,52.48965892,52.48942899,262.5863,106.844597
W10004_0037/PHK76,5.13575995,52.81226214,52.44892876,229.0174903,118.3454496
W10004_0037/PHP02,7.906330224,51.44769694,52.38365657,234.7170164,132.2305966
W10004_0037/PHZ51,8.6303066,52.93745196,54.38611933,241.0101484,115.4790427
W10004_0038/PHK76,7.097385158,51.55540246,51.74717314,219.2906431,99.48949567
W10004_0038/PHP02,NA,52.23380285,53.81094574,213.4179127,104.7807955
W10004_0038/PHZ51,6.990564669,53.20023101,54.11237391,252.6947938,121.1839741
W10004_0039/PHK76,8.857246363,51.58160591,51.51565767,229.1590995,99.94718975
W10004_0039/PHP02,6.578179235,53.95154975,53.61349959,243.368164,106.7168042
W10004_0039/PHZ51,6.786052898,53.62090874,53.61850221,246.2538039,128.4426099
W10004_0041/PHK76,8.06771276,52.27815085,51.77876999,233.6968603,109.4881301
W10004_0041/PHP02,8.890440226,50.14889036,50.94420264,230.0815605,102.9910661
W10004_0041/PHZ51,8.227864046,52.85607035,53.42471411,248.5559005,102.421148
W10004_0042/PHK76,8.021645613,50.88363575,51.191557,223.9350028,80.38312376
W10004_0042/PHP02,8.832238427,50.0525619,52.20297406,237.9127746,106.9222616
W10004_0042/PHZ51,8.672830143,51.40210651,53.42426222,258.2332422,105.1980742
W10004_0045/PHK76,9.036415341,51.55249434,51.90586857,253.2442206,122.4774976
W10004_0045/PHP02,7.939995923,51.94939959,52.60860776,246.5646604,125.2870568
W10004_0045/PHZ51,8.398138491,53.65993156,53.19913684,262.3136499,127.7123622
W10004_0046/PHK76,7.535165918,51.79544146,52.55103064,212.3346726,99.54142732
W10004_0046/PHP02,8.641682652,50.35676712,51.51527926,199.8663697,89.4349565
W10004_0046/PHZ51,9.518007811,52.34690971,54.01124055,245.9642592,104.1906411
W10004_0047/PHK76,6.681957873,51.68466383,52.46676592,224.8283255,87.48833451
W10004_0047/PHP02,7.648845349,50.28608056,53.24051841,210.0260414,90.61792446
W10004_0047/PHZ51,8.275885242,50.15333392,54.27130716,249.4798713,87.79000058
W10004_0053/PHK76,8.762692085,52.05275862,51.99883493,229.0033301,116.952616
W10004_0053/PHP02,8.815990518,52.08962421,52.73168312,241.5871782,118.964464
W10004_0053/PHZ51,9.383718867,55.109599,53.97743289,246.6485476,111.3557953
W10004_0055/PHK76,7.787500164,50.97875039,51.1732859,233.8925006,106.0148996
W10004_0055/PHP02,10.02674933,51.54084058,52.2274257,246.5359155,120.5934196
W10004_0055/PHZ51,8.480214269,53.25741691,55.8688387,268.9423552,129.1148999
W10004_0059/PHK76,7.703495937,49.63969404,49.52452431,208.4948362,84.85730989
W10004_0059/PHP02,7.72059929,49.00425278,51.27993206,221.792919,95.13104726
W10004_0059/PHZ51,7.885590412,52.23898522,53.89172785,253.2391216,108.6376956
W10004_0061/PHK76,6.684115437,51.2029151,51.29199708,205.1880445,83.73727531
W10004_0061/PHP02,7.172751172,51.99673671,53.29939431,209.9846145,83.92090286
W10004_0061/PHZ51,8.49658555,54.52937683,55.18133485,252.4803412,124.7150114
W10004_0062/PHK76,7.867225288,51.82461743,53.47037063,213.7951187,75.10331977
W10004_0062/PHP02,6.60059636,51.86131545,52.80366501,209.9490844,93.90033802
W10004_0062/PHZ51,7.092970733,53.03221958,54.83063114,248.7751187,108.7188088
W10004_0063/PHK76,8.984854964,51.02263347,51.04557365,247.2322087,94.2953416
W10004_0063/PHP02,8.619812022,51.33610732,52.52842735,231.2086921,101.7701659
W10004_0063/PHZ51,7.207900069,51.68181685,53.60115,250.7633272,102.3783257
W10004_0064/PHK76,NA,51.22210378,51.71100198,206.8121554,104.1695987
W10004_0064/PHP02,7.647138688,51.07607668,50.49732873,226.2930706,118.4018808
W10004_0064/PHZ51,8.594284847,53.27514172,52.87758334,252.8957903,104.1549538
W10004_0065/PHK76,7.509246838,52.34699865,53.4477878,195.6063548,89.16928163
W10004_0065/PHP02,7.668031875,51.05284375,52.42610389,214.9142759,102.2507145
W10004_0065/PHZ51,8.028694758,52.08850712,52.5081396,235.5509072,102.4498177
W10004_0068/PHK76,8.087765502,50.51633092,50.68477859,221.2447533,104.3452471
W10004_0068/PHP02,8.660410273,50.97255047,52.39588642,212.9035771,88.88465787
W10004_0068/PHZ51,6.772292294,53.75035914,53.40300758,253.507461,105.7432641
W10004_0069/PHK76,8.082184188,51.93463907,51.79204481,240.4047022,105.885832
W10004_0069/PHP02,8.78996223,51.24075523,50.64134962,218.2587054,92.3035737
W10004_0069/PHZ51,8.389411236,52.6634482,53.33273824,248.9225111,103.5935105
