Pedigree,Height.15,Height.17,Height.22,Height.24,Height.27,Height.30,Height.32,Height.37,Height.39,Height.41,Height.45,Height.48,Height.51,Height.56,Height.60,Height.62,Height.69,Height.73,Height.76,Height.80,Height.83,Height.87,Height.90,Height.99,Height.101,Height.104,Height.107,Height.111,Height.114,Height.118,Height.122,Height.126
W10004_0649 X PHK76,-0.096506678,-0.078154119,0.008502544,0.065088305,0.179724734,0.334139749,0.459789817,0.842008469,1.0124889,1.184862257,1.509456132,1.712541841,1.867597765,2.020094086,2.071847647,2.084133008,2.097710832,2.098859319,2.099137442,2.099290407,2.099347847,2.099394791,2.099389312,2.099458527,2.099463705,2.099469849,2.099474458,2.099478836,2.099481143,2.099397098,2.099484714,2.099485632
W10004_0649 X PHP02,-0.071782743,-0.054417433,0.027546143,0.081101426,0.18973638,0.336401157,0.456050991,0.8218961,0.986100706,1.152875709,1.46934983,1.669361072,1.823428297,1.976395538,2.028559531,2.0408699,2.054212102,2.055268598,2.055513253,2.055644379,2.055693083,2.055732806,2.055728172,2.055786718,2.055791098,2.055796295,2.055800194,2.055803896,2.055805848,2.055734757,2.055808869,2.055809645
W10004_0649 X PHZ51,0.025221124,0.04157715,0.120494298,0.172933478,0.280597281,0.427882571,0.549258222,0.925301518,1.095966782,1.270269372,1.603329028,1.81518382,1.979020855,2.142224079,2.19802322,2.211223448,2.225605318,2.226774934,2.227053819,2.227206707,2.227264133,2.227311076,2.227305597,2.227374812,2.22737999,2.227386134,2.227390743,2.227395121,2.227397428,2.227313383,2.227400999,2.227401916
W10004_0650 X PHK76,0.069385018,0.085183371,0.162316674,0.214101488,0.321303735,0.469370354,0.5923223,0.977030427,1.152944344,1.33309228,1.677468331,1.89520054,2.061366776,2.222145853,2.274591357,2.286620855,2.299596408,2.300699282,2.300972539,2.301124759,2.301182165,2.301229107,2.301223627,2.301292842,2.301298021,2.301304164,2.301308774,2.301313151,2.301315459,2.301231413,2.301319029,2.301319947
W10004_0650 X PHP02,0.014884126,0.031160645,0.110117897,0.162813228,0.271356462,0.420377018,0.543511737,0.926212724,1.100264399,1.278114287,1.617724122,1.833032169,1.998552644,2.161358197,2.215829149,2.228501708,2.242163955,2.243290215,2.243564891,2.243717228,2.243774636,2.243821578,2.243816098,2.243885313,2.243890492,2.243896635,2.243901245,2.243905622,2.24390793,2.243823884,2.2439115,2.243912418
W10004_0650 X PHZ51,0.099187255,0.115356695,0.193434286,0.245365493,0.35210426,0.498381699,0.619160088,0.994870664,1.166281995,1.342069044,1.680659963,1.898750102,2.069851862,2.244437276,2.30631887,2.32135303,2.338043349,2.339367412,2.339664661,2.339820611,2.339878182,2.339925136,2.339919656,2.339988871,2.339994049,2.340000193,2.340004802,2.34000918,2.340011488,2.339927442,2.340015058,2.340015976
W10004_0651 X PHK76,0.058528151,0.074883956,0.153712798,0.20604005,0.313374724,0.460023967,0.580726479,0.953833226,1.122709628,1.294848765,1.622623695,1.830071818,1.989675963,2.147493565,2.200983327,2.213587372,2.227340646,2.228481071,2.228757288,2.228909829,2.228967244,2.229014187,2.229008707,2.229077922,2.2290831,2.229089244,2.229093853,2.229098231,2.229100538,2.229016493,2.229104109,2.229105027
W10004_0651 X PHP02,0.006658513,0.02350128,0.104001941,0.15710307,0.265556513,0.413095028,0.534181499,0.907515662,1.076378628,1.248656373,1.57788212,1.787962643,1.951519405,2.117099577,2.175587192,2.189871712,2.206006719,2.207348917,2.207654271,2.207812855,2.207870673,2.207917658,2.207912179,2.207981394,2.207986573,2.207992716,2.207997326,2.208001703,2.208004011,2.207919965,2.208007581,2.208008499
W10004_0651 X PHZ51,0.086855554,0.104379297,0.187541117,0.242102827,0.353130279,0.503616016,0.626823216,1.005924778,1.177348936,1.352421939,1.688177297,1.903991156,2.073661748,2.248658922,2.312586695,2.328720654,2.347857722,2.34958158,2.349962085,2.350135573,2.35018948,2.350230217,2.350225652,2.350284206,2.350288586,2.350293783,2.350297682,2.350301385,2.350303336,2.350232245,2.350306357,2.350307133
W10004_0654 X PHK76,0.018414978,0.034784626,0.11438773,0.167599328,0.277282447,0.427867691,0.552186161,0.937204104,1.111286258,1.288244885,1.622623366,1.831197983,1.988834238,2.14041621,2.190115497,2.201665555,2.214338771,2.215438487,2.215711664,2.21586388,2.215921287,2.215968229,2.215962749,2.216031964,2.216037143,2.216043286,2.216047896,2.216052273,2.216054581,2.215970535,2.216058151,2.216059069
