"","grp","var1","var2","vcov","sdcor","Percent","RMSE","Repeatability","Rsquared","Trait"
"42","Residual",NA,NA,0.000245377064793296,0.0156645161046646,0.0660792527996991,0.0147143965233693,0.789757388709862,0.933920747200301,"NGRDI"
"43","Pedigree:Flight","(Intercept)",NA,7.11415295463991e-05,0.00843454382562561,0.00823983040945809,0.0241253791182744,0.740986215452507,0.924688966074925,"VARI"
"44","Pedigree","(Intercept)",NA,9.12522262284627e-05,0.00955260311268414,0.0105691130539672,0.0241253791182744,0.740986215452507,0.924688966074925,"VARI"
"45","Row","(Intercept)",NA,4.27041460069494e-05,0.00653484093203113,0.00494612532400649,0.0241253791182744,0.740986215452507,0.924688966074925,"VARI"
"46","Range","(Intercept)",NA,2.98048319489332e-05,0.00545938017992274,0.0034520871593214,0.0241253791182744,0.740986215452507,0.924688966074925,"VARI"
"47","Flight","(Intercept)",NA,0.00774849043719635,0.0880255101501624,0.897453956063239,0.0241253791182744,0.740986215452507,0.924688966074925,"VARI"
"48","Rep","(Intercept)",NA,2.40488054350651e-07,0.000490395813961183,2.78540649320381e-05,0.0241253791182744,0.740986215452507,0.924688966074925,"VARI"
"49","Residual",NA,NA,0.000650224807903901,0.025499506032547,0.0753110339250753,0.0241253791182744,0.740986215452507,0.924688966074925,"VARI"
"50","Pedigree:Flight","(Intercept)",NA,0.000320167249623733,0.0178932179784334,0.0222647195673659,0.0477654667168163,0.484519675238709,0.821322166581938,"BGI"
"51","Pedigree","(Intercept)",NA,0.000119327370649334,0.01092370681817,0.00829813307682425,0.0477654667168163,0.484519675238709,0.821322166581938,"BGI"
"52","Row","(Intercept)",NA,7.26234899169921e-05,0.00852194167528692,0.00505030304912672,0.0477654667168163,0.484519675238709,0.821322166581938,"BGI"
"53","Range","(Intercept)",NA,0.000107936905553269,0.0103892687689399,0.00750602985138882,0.0477654667168163,0.484519675238709,0.821322166581938,"BGI"
"54","Flight","(Intercept)",NA,0.0111866329902098,0.105766880403129,0.777928556786409,0.0477654667168163,0.484519675238709,0.821322166581938,"BGI"
"55","Rep","(Intercept)",NA,3.94622790330153e-06,0.00198651149085565,0.000274424250822593,0.0477654667168163,0.484519675238709,0.821322166581938,"BGI"
"56","Residual",NA,NA,0.00256939191715841,0.0506891696238793,0.178677833418062,0.0477654667168163,0.484519675238709,0.821322166581938,"BGI"
"57","Pedigree:Flight","(Intercept)",NA,2.00930739256177e-05,0.00448252985774972,0.0282301850661627,0.0126088087083534,0.458397313392029,0.750682005367655,"BCC"
